OUTPUT DATA,,,
,,,
Mode,1,,
Period,Frequency,CircFreq,Eigenvalue
2.485,0.402,2.5282,6.3917
,,,
Mode,2,,
Period,Frequency,CircFreq,Eigenvalue
1.674,0.597,3.7537,14.0905
,,,
Mode,3,,
Period,Frequency,CircFreq,Eigenvalue
1.151,0.869,5.4594,29.8054
,,,
Mode,4,,
Period,Frequency,CircFreq,Eigenvalue
0.533,1.875,11.7804,138.7783
,,,
Mode,5,,
Period,Frequency,CircFreq,Eigenvalue
0.464,2.157,13.5537,183.7018
,,,
Mode,6,,
Period,Frequency,CircFreq,Eigenvalue
0.248,4.038,25.3721,643.7448
,,,
Mode,7,,
Period,Frequency,CircFreq,Eigenvalue
0.086,11.582,72.773,5295.9136
,,,
Mode,8,,
Period,Frequency,CircFreq,Eigenvalue
0.068,14.677,92.219,8504.3369
,,,
Mode,9,,
Period,Frequency,CircFreq,Eigenvalue
0.066,15.052,94.5776,8944.9247
,,,
Mode,10,,
Period,Frequency,CircFreq,Eigenvalue
0.063,15.936,100.1287,10025.7596
,,,
Mode,11,,
Period,Frequency,CircFreq,Eigenvalue
0.063,15.972,100.3562,10071.3723
,,,
Mode,12,,
Period,Frequency,CircFreq,Eigenvalue
0.054,18.366,115.3969,13316.4344
