,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Drawing,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
UB127x76x13,dxf,127,76,4,7.6,8,13,0.537,1652,643,1155,4.734,53.5,74.56,84.15,0.5574,18.4,14.67,22.58,28.5,7.125,2000,881.6,586.45,131.73,236.77,26.47,29.87,5.21,8.02,a,b,1,1,1
UB152x89x16,dxf,152,89,4.5,7.7,8,16,0.638,2032,818,1366,8.343,64.1,109.5,123.3,0.8975,21,20.24,31.18,35.6,7.911,4700,1465,721.38,167.61,279.97,38.87,43.76,7.18,11.07,a,b,1,2,1
UB178x102x19,dxf,178,101,4.8,7.9,8,19,0.738,2426,985,1599,13.56,74.8,152.5,171.3,1.367,23.7,27.02,41.59,44.1,9.188,9900,2303,861.28,201.92,327.72,54.15,60.8,9.59,14.76,a,b,1,2,1
UB203x102x23,dxf,203,102,5.4,9.3,8,23.1,0.79,2940,1238,1893,21.05,84.6,207.2,234.1,1.639,23.6,32.19,49.75,70.2,13,15400,3121,1043.67,253.74,388.09,73.55,83.09,11.43,17.66,a,b,1,3,1
UB203x133x25,dxf,203,133,5.7,7.8,8,25.1,0.915,3197,1283,2078,23.4,85.6,230.3,257.7,3.076,31,46.19,70.94,59.6,10.46,29400,4518,1134.87,263,425.89,81.77,91.49,16.4,25.19,a,b,1,2,1
UB203x133x30,dxf,207,134,6.4,9.6,8,30,0.923,3821,1458,2571,28.96,87.1,280,314.4,3.847,31.7,57.45,88.22,103,16.09,37400,5666,1356.49,298.74,526.93,99.41,111.6,20.4,31.32,a,b,1,2,1
UB254x102x22,dxf,254,102,5.7,6.8,8,22,0.89,2802,1644,1382,28.41,100.7,223.7,259,1.193,20.6,23.49,37.27,41.5,7.281,18200,2899,994.58,337.02,283.2,79.41,91.95,8.34,13.23,a,b,1,4,1
UB254x102x25,dxf,257,102,6,8.4,8,25.2,0.897,3204,1731,1712,34.15,103.2,265.5,305.5,1.487,21.5,29.18,46.01,64.2,10.7,23000,3629,1137.39,354.76,350.87,94.26,108.46,10.36,16.33,a,b,1,4,1
UB254x102x28,dxf,260,102,6.3,10,8,28.3,0.904,3608,1817,2044,40.05,105.4,307.6,352.8,1.785,22.2,34.94,54.85,95.7,15.19,28000,4377,1280.88,372.5,418.94,109.19,125.25,12.4,19.47,a,b,1,4,1
