"Eurocode 3 (in accordance with the UK National Annex) (BS EN 1993-1-1: 2005+A1: 2014, BS EN 10365: 2017)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Universal columns (UC), Axial compression with S355",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section designation,,,,"Compression resistance Nb,y,Rd, Nb,z,Rd, Nb,T,Rd (kN) for buckling lengths (m)",,,,,,,,,,,,,,,,
,,,Axis,1.0,1.5,2.0,2.5,3.0,3.5,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
356 x 406,x 1299,,"Nb,y,Rd",48800,48800,48800,48800,48800,48800,48400,47400,46400,45400,44300,43100,41800,40500,39100,37500,35900
,,,"Nb,z,Rd",48800,48800,48800,47800,46600,45400,44200,41700,39000,36200,33200,30300,27400,24700,22300,20000,18000
,,,"Nb,T,Rd",48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800,48800
356 x 406,x 1202,,"Nb,y,Rd",45200,45200,45200,45200,45200,45100,44700,43800,42800,41800,40700,39600,38400,37100,35700,34200,32600
,,,"Nb,z,Rd",45200,45200,45200,44100,43000,41900,40700,38400,35800,33200,30400,27700,25000,22500,20200,18200,16300
,,,"Nb,T,Rd",45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45100,45100,45100,45100,45100,45100,45000
356 x 406,x 1086,,"Nb,y,Rd",40900,40900,40900,40900,40900,40900,40400,39600,38700,37800,36800,35800,34700,33500,32300,30900,29500
,,,"Nb,z,Rd",40900,40900,40900,39800,38800,37700,36700,34400,32100,29600,27000,24500,22000,19700,17700,15800,14200
,,,"Nb,T,Rd",40900,40900,40900,40900,40900,40900,40900,40800,40700,40700,40600,40600,40600,40600,40600,40500,40500
356 x 406,x 990,,"Nb,y,Rd",37200,37200,37200,37200,37200,37200,36800,36000,35200,34300,33400,32400,31400,30300,29100,27800,26400
,,,"Nb,z,Rd",37200,37200,37200,36200,35200,34300,33300,31200,29000,26700,24300,22000,19700,17600,15800,14100,12700
,,,"Nb,T,Rd",37200,37200,37200,37200,37200,37200,37100,37000,36900,36800,36800,36700,36700,36700,36700,36700,36700
356 x 406,x 900,,"Nb,y,Rd",33900,33900,33900,33900,33900,33800,33400,32700,31900,31100,30200,29300,28300,27300,26100,24900,23600
,,,"Nb,z,Rd",33900,33900,33800,32900,32000,31100,30200,28300,26200,24100,21900,19700,17700,15800,14100,12600,11300
,,,"Nb,T,Rd",33900,33900,33900,33900,33900,33800,33600,33500,33400,33300,33300,33200,33200,33200,33200,33200,33200
356 x 406,x 818,,"Nb,y,Rd",32900,32900,32900,32900,32900,32600,32200,31500,30700,29800,28900,28000,26900,25800,24500,23300,21900
